Номер,Наименование водного объекта,Азот нитритный,Азот аммонийный,Азот нитратный,Фенол,Нефтепродукты,Органические вещества (по ХПК),Железо,Медь,Цинк,Марганец,БПК5,Месяц,Год
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Июнь,2018
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Июль,2018
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Август,2018
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Сентябрь,2018
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Октябрь,2018
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Ноябрь,2018
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Декабрь,2018
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Январь,2019
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,1,0,Февраль,2019
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Март,2019
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Апрель,2019
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Май,2019
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Июнь,2019
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Июль,2019
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Август,2019
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Сентябрь,2019
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Октябрь,2019
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Ноябрь,2019
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Декабрь,2019
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Январь,2020
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Февраль,2020
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Март,2020
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Апрель,2020
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Май,2020
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Июнь,2020
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Июль,2020
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Август,2020
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Сентябрь,2020
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Октябрь,2020
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Ноябрь,2020
12,"р. Тобол, створ с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,Декабрь,2020
